image_path,label
C:/Users/maill/WORK/Dataset/32_12/img_28,по
C:/Users/maill/WORK/Dataset/32_12/img_29,шел
C:/Users/maill/WORK/Dataset/32_12/img_30,по
C:/Users/maill/WORK/Dataset/32_12/img_31,ял.
C:/Users/maill/WORK/Dataset/32_12/img_32,и
C:/Users/maill/WORK/Dataset/32_12/img_33,Утомлений
C:/Users/maill/WORK/Dataset/32_12/img_34,еще
C:/Users/maill/WORK/Dataset/32_12/img_35,пришол
C:/Users/maill/WORK/Dataset/32_12/img_36,в сост
C:/Users/maill/WORK/Dataset/32_12/img_37,уже
C:/Users/maill/WORK/Dataset/32_12/img_38,темнеет
C:/Users/maill/WORK/Dataset/32_12/img_39,в
C:/Users/maill/WORK/Dataset/32_12/img_40,совете
C:/Users/maill/WORK/Dataset/32_12/img_41,мижики
C:/Users/maill/WORK/Dataset/32_12/img_42,сидят шутят
C:/Users/maill/WORK/Dataset/32_12/img_43,друг
C:/Users/maill/WORK/Dataset/32_12/img_44,над
C:/Users/maill/WORK/Dataset/32_12/img_45,другом.
C:/Users/maill/WORK/Dataset/32_12/img_46,ищут
C:/Users/maill/WORK/Dataset/32_12/img_48,сем
C:/Users/maill/WORK/Dataset/32_12/img_49,го
C:/Users/maill/WORK/Dataset/32_12/img_50,тут
C:/Users/maill/WORK/Dataset/32_12/img_51,же
C:/Users/maill/WORK/Dataset/32_12/img_52,ту
C:/Users/maill/WORK/Dataset/32_12/img_54,приходит
C:/Users/maill/WORK/Dataset/32_12/img_55,зямлему. надо подводу.
C:/Users/maill/WORK/Dataset/32_12/img_56,а
C:/Users/maill/WORK/Dataset/32_12/img_57,сель
C:/Users/maill/WORK/Dataset/32_12/img_58,ский
C:/Users/maill/WORK/Dataset/32_12/img_59,Уехал
C:/Users/maill/WORK/Dataset/32_12/img_60,на
C:/Users/maill/WORK/Dataset/32_12/img_61,паре
C:/Users/maill/WORK/Dataset/32_12/img_64,не
C:/Users/maill/WORK/Dataset/32_12/img_66,и
C:/Users/maill/WORK/Dataset/32_12/img_67,нек
C:/Users/maill/WORK/Dataset/32_12/img_68,то
C:/Users/maill/WORK/Dataset/32_12/img_69,неедетят. токда
C:/Users/maill/WORK/Dataset/32_12/img_70,пред
C:/Users/maill/WORK/Dataset/32_12/img_72,на
C:/Users/maill/WORK/Dataset/32_12/img_73,пал
C:/Users/maill/WORK/Dataset/32_12/img_74,на
C:/Users/maill/WORK/Dataset/32_12/img_76,Утя говорят
C:/Users/maill/WORK/Dataset/32_12/img_77,лоша
C:/Users/maill/WORK/Dataset/32_12/img_78,дома
C:/Users/maill/WORK/Dataset/32_12/img_79,нет
C:/Users/maill/WORK/Dataset/32_12/img_80,приеха
C:/Users/maill/WORK/Dataset/32_12/img_81,л
C:/Users/maill/WORK/Dataset/32_12/img_82,споля
C:/Users/maill/WORK/Dataset/32_12/img_83,и
C:/Users/maill/WORK/Dataset/32_12/img_84,свел.
C:/Users/maill/WORK/Dataset/32_12/img_86,беги
C:/Users/maill/WORK/Dataset/32_12/img_87,бегом
C:/Users/maill/WORK/Dataset/32_12/img_88,вези
C:/Users/maill/WORK/Dataset/32_12/img_89,бежать
C:/Users/maill/WORK/Dataset/32_12/img_91,и
C:/Users/maill/WORK/Dataset/32_12/img_92,от
C:/Users/maill/WORK/Dataset/32_12/img_93,землемера
C:/Users/maill/WORK/Dataset/32_12/img_94,далеко
C:/Users/maill/WORK/Dataset/32_12/img_95,пока
C:/Users/maill/WORK/Dataset/32_12/img_96,хожу
C:/Users/maill/WORK/Dataset/32_12/img_97,вовсе
C:/Users/maill/WORK/Dataset/32_12/img_98,темно
C:/Users/maill/WORK/Dataset/32_12/img_99,будет
C:/Users/maill/WORK/Dataset/32_12/img_100,и
C:/Users/maill/WORK/Dataset/32_12/img_101,я так сегод
C:/Users/maill/WORK/Dataset/32_12/img_102,ня
C:/Users/maill/WORK/Dataset/32_12/img_105,иди
C:/Users/maill/WORK/Dataset/32_12/img_106,мать
C:/Users/maill/WORK/Dataset/32_12/img_107,перемать
C:/Users/maill/WORK/Dataset/32_12/img_108,скорее
C:/Users/maill/WORK/Dataset/32_12/img_110,не
C:/Users/maill/WORK/Dataset/32_12/img_111,аривает.
C:/Users/maill/WORK/Dataset/32_12/img_113,что
C:/Users/maill/WORK/Dataset/32_12/img_114,больше
C:/Users/maill/WORK/Dataset/32_12/img_115,неко
C:/Users/maill/WORK/Dataset/32_12/img_116,го
C:/Users/maill/WORK/Dataset/32_12/img_117,что
C:/Users/maill/WORK/Dataset/32_12/img_118,не
C:/Users/maill/WORK/Dataset/32_12/img_120,не
C:/Users/maill/WORK/Dataset/32_12/img_121,куда
C:/Users/maill/WORK/Dataset/32_12/img_122,не
C:/Users/maill/WORK/Dataset/32_12/img_123,бывали.
C:/Users/maill/WORK/Dataset/32_12/img_125,что
C:/Users/maill/WORK/Dataset/32_12/img_126,мать
C:/Users/maill/WORK/Dataset/32_12/img_127,перелсать
C:/Users/maill/WORK/Dataset/32_12/img_128,не тибя
C:/Users/maill/WORK/Dataset/32_12/img_129,что
C:/Users/maill/WORK/Dataset/32_12/img_130,ли
C:/Users/maill/WORK/Dataset/32_12/img_131,говорят
C:/Users/maill/WORK/Dataset/32_12/img_132,иди
C:/Users/maill/WORK/Dataset/32_12/img_133,живо
C:/Users/maill/WORK/Dataset/32_12/img_134,не
C:/Users/maill/WORK/Dataset/32_12/img_135,разговаривал
C:/Users/maill/WORK/Dataset/32_12/img_136,что
C:/Users/maill/WORK/Dataset/32_12/img_137,член
C:/Users/maill/WORK/Dataset/32_12/img_138,сель
C:/Users/maill/WORK/Dataset/32_12/img_140,другие
C:/Users/maill/WORK/Dataset/32_12/img_141,какой
C:/Users/maill/WORK/Dataset/32_12/img_142,пришлет
C:/Users/maill/WORK/Dataset/32_12/img_143,кажет.
C:/Users/maill/WORK/Dataset/32_12/img_144,тогда
C:/Users/maill/WORK/Dataset/32_12/img_145,пред
C:/Users/maill/WORK/Dataset/32_12/img_146,вовсе
C:/Users/maill/WORK/Dataset/32_12/img_147,напустился
C:/Users/maill/WORK/Dataset/32_12/img_148,айда
C:/Users/maill/WORK/Dataset/32_12/img_149,матвого
C:/Users/maill/WORK/Dataset/32_12/img_150,живо.
C:/Users/maill/WORK/Dataset/32_12/img_151,пришлось
C:/Users/maill/WORK/Dataset/32_12/img_153,не
C:/Users/maill/WORK/Dataset/32_12/img_154,солоно
C:/Users/maill/WORK/Dataset/32_12/img_155,хлебави
C:/Users/maill/WORK/Dataset/32_12/img_156,шагато за
C:/Users/maill/WORK/Dataset/32_12/img_157,лошадью.
C:/Users/maill/WORK/Dataset/32_12/img_158,а
C:/Users/maill/WORK/Dataset/32_12/img_159,когда
C:/Users/maill/WORK/Dataset/32_12/img_160,приехал
C:/Users/maill/WORK/Dataset/32_12/img_161,в
C:/Users/maill/WORK/Dataset/32_12/img_162,совете
C:/Users/maill/WORK/Dataset/32_12/img_163,уже
C:/Users/maill/WORK/Dataset/32_12/img_164,не
C:/Users/maill/WORK/Dataset/32_12/img_165,кого
C:/Users/maill/WORK/Dataset/32_12/img_166,нет
C:/Users/maill/WORK/Dataset/32_12/img_167,пришлось
C:/Users/maill/WORK/Dataset/32_12/img_168,ехать обратно
C:/Users/maill/WORK/Dataset/32_12/img_169,и
C:/Users/maill/WORK/Dataset/32_12/img_170,опять
C:/Users/maill/WORK/Dataset/32_12/img_171,свет
C:/Users/maill/WORK/Dataset/32_12/img_178,опять
C:/Users/maill/WORK/Dataset/32_12/img_179,да
C:/Users/maill/WORK/Dataset/32_12/img_180,на
C:/Users/maill/WORK/Dataset/32_12/img_181,поле
C:/Users/maill/WORK/Dataset/32_12/img_182,ехать.
C:/Users/maill/WORK/Dataset/32_12/img_183,трепал
C:/Users/maill/WORK/Dataset/32_12/img_184,не
C:/Users/maill/WORK/Dataset/32_12/img_185,без
C:/Users/maill/WORK/Dataset/32_12/img_186,тому
C:/Users/maill/WORK/Dataset/32_12/img_187,вот
C:/Users/maill/WORK/Dataset/32_12/img_188,как
C:/Users/maill/WORK/Dataset/32_12/img_189,потчуют
C:/Users/maill/WORK/Dataset/32_12/img_190,нашего
C:/Users/maill/WORK/Dataset/32_12/img_191,брата
C:/Users/maill/WORK/Dataset/32_12/img_192,все
C:/Users/maill/WORK/Dataset/32_12/img_193,наши
C:/Users/maill/WORK/Dataset/32_12/img_194,работы
C:/Users/maill/WORK/Dataset/32_12/img_195,и
C:/Users/maill/WORK/Dataset/32_12/img_196,старанья.
C:/Users/maill/WORK/Dataset/32_12/img_198,больше
C:/Users/maill/WORK/Dataset/32_12/img_201,того
C:/Users/maill/WORK/Dataset/32_12/img_202,больше
C:/Users/maill/WORK/Dataset/32_12/img_203,и
C:/Users/maill/WORK/Dataset/32_12/img_204,толкают а
C:/Users/maill/WORK/Dataset/32_12/img_205,кто
C:/Users/maill/WORK/Dataset/32_12/img_206,в
C:/Users/maill/WORK/Dataset/32_12/img_207,совете
C:/Users/maill/WORK/Dataset/32_12/img_208,не
C:/Users/maill/WORK/Dataset/32_12/img_209,быват тот
C:/Users/maill/WORK/Dataset/32_12/img_210,жевет
C:/Users/maill/WORK/Dataset/32_12/img_211,спокоен.
C:/Users/maill/WORK/Dataset/32_12/img_213,Село
C:/Users/maill/WORK/Dataset/32_12/img_218,Сель
C:/Users/maill/WORK/Dataset/32_13/img_1,се
C:/Users/maill/WORK/Dataset/32_13/img_2,необходимое.
C:/Users/maill/WORK/Dataset/32_13/img_3,Потребитель вредность
C:/Users/maill/WORK/Dataset/32_13/img_4,этого
C:/Users/maill/WORK/Dataset/32_13/img_5,явлению
C:/Users/maill/WORK/Dataset/32_13/img_6,прек-
C:/Users/maill/WORK/Dataset/32_13/img_7,расно
C:/Users/maill/WORK/Dataset/32_13/img_8,понимает
C:/Users/maill/WORK/Dataset/32_13/img_9,и
C:/Users/maill/WORK/Dataset/32_13/img_10,"знает,"
C:/Users/maill/WORK/Dataset/32_13/img_11,но
C:/Users/maill/WORK/Dataset/32_13/img_12,расходует
C:/Users/maill/WORK/Dataset/32_13/img_13,свои копейки
C:/Users/maill/WORK/Dataset/32_13/img_14,на
C:/Users/maill/WORK/Dataset/32_13/img_15,сторо
C:/Users/maill/WORK/Dataset/32_13/img_16,не
C:/Users/maill/WORK/Dataset/32_13/img_17,что
C:/Users/maill/WORK/Dataset/32_13/img_18,часто
C:/Users/maill/WORK/Dataset/32_13/img_19,иного
C:/Users/maill/WORK/Dataset/32_13/img_20,выхода
C:/Users/maill/WORK/Dataset/32_13/img_21,нет.
C:/Users/maill/WORK/Dataset/32_13/img_22,"Но,"
C:/Users/maill/WORK/Dataset/32_13/img_23,а
C:/Users/maill/WORK/Dataset/32_13/img_24,между
C:/Users/maill/WORK/Dataset/32_13/img_25,"тем,"
C:/Users/maill/WORK/Dataset/32_13/img_26,должна
C:/Users/maill/WORK/Dataset/32_13/img_27,быть
C:/Users/maill/WORK/Dataset/32_13/img_28,"така, чтобы"
C:/Users/maill/WORK/Dataset/32_13/img_29,она от-
C:/Users/maill/WORK/Dataset/32_13/img_30,вечала
C:/Users/maill/WORK/Dataset/32_13/img_31,практически
C:/Users/maill/WORK/Dataset/32_13/img_32,потребностям
C:/Users/maill/WORK/Dataset/32_13/img_33,крестьянина-потребителя
C:/Users/maill/WORK/Dataset/32_13/img_34,и
C:/Users/maill/WORK/Dataset/32_13/img_35,вовсе
C:/Users/maill/WORK/Dataset/32_13/img_36,не
C:/Users/maill/WORK/Dataset/32_13/img_37,является
C:/Users/maill/WORK/Dataset/32_13/img_38,не
C:/Users/maill/WORK/Dataset/32_13/img_39,разрешимой задачей
C:/Users/maill/WORK/Dataset/32_13/img_40,Поэтому
C:/Users/maill/WORK/Dataset/32_13/img_41,правлению
C:/Users/maill/WORK/Dataset/32_13/img_42,Аятского
C:/Users/maill/WORK/Dataset/32_13/img_43,Е.П.Л.
C:/Users/maill/WORK/Dataset/32_13/img_44,нужно
C:/Users/maill/WORK/Dataset/32_13/img_45,за
C:/Users/maill/WORK/Dataset/32_13/img_46,кооперирование
C:/Users/maill/WORK/Dataset/32_13/img_47,и
C:/Users/maill/WORK/Dataset/32_13/img_48,удовлетворение
C:/Users/maill/WORK/Dataset/32_13/img_49,потребности
C:/Users/maill/WORK/Dataset/32_13/img_50,населения
C:/Users/maill/WORK/Dataset/32_13/img_51,взяться
C:/Users/maill/WORK/Dataset/32_13/img_52,серьезно.
C:/Users/maill/WORK/Dataset/32_13/img_53,Севрюгин
C:/Users/maill/WORK/Dataset/32_13/img_54,Ник.Фед.II.
C:/Users/maill/WORK/Dataset/32_13/img_55,20/VI-27г.
C:/Users/maill/WORK/Dataset/32_14/img_1,В
C:/Users/maill/WORK/Dataset/32_14/img_2,Редкцию
C:/Users/maill/WORK/Dataset/32_14/img_3,областной
C:/Users/maill/WORK/Dataset/32_14/img_4,газеты
C:/Users/maill/WORK/Dataset/32_14/img_5,Хорошо
C:/Users/maill/WORK/Dataset/32_14/img_6,снизили
C:/Users/maill/WORK/Dataset/32_14/img_7,цены
C:/Users/maill/WORK/Dataset/32_14/img_8,В
C:/Users/maill/WORK/Dataset/32_14/img_9,Килачевском
C:/Users/maill/WORK/Dataset/32_14/img_10,Д.
C:/Users/maill/WORK/Dataset/32_14/img_11,П. О.
C:/Users/maill/WORK/Dataset/32_14/img_12,цены
C:/Users/maill/WORK/Dataset/32_14/img_13,на
C:/Users/maill/WORK/Dataset/32_14/img_14,товары
C:/Users/maill/WORK/Dataset/32_14/img_15,после сниженья
C:/Users/maill/WORK/Dataset/32_14/img_17,стали
C:/Users/maill/WORK/Dataset/32_14/img_18,еще
C:/Users/maill/WORK/Dataset/32_14/img_19,выше.
C:/Users/maill/WORK/Dataset/32_14/img_20,обуточные
C:/Users/maill/WORK/Dataset/32_14/img_21,переда
C:/Users/maill/WORK/Dataset/32_14/img_22,из
C:/Users/maill/WORK/Dataset/32_14/img_23,красной
C:/Users/maill/WORK/Dataset/32_14/img_24,кожи
C:/Users/maill/WORK/Dataset/32_14/img_25,до
C:/Users/maill/WORK/Dataset/32_14/img_26,сниженья
C:/Users/maill/WORK/Dataset/32_14/img_27,85 коп.
C:/Users/maill/WORK/Dataset/32_14/img_28,а
C:/Users/maill/WORK/Dataset/32_14/img_29,теперь
C:/Users/maill/WORK/Dataset/32_14/img_30,1 р. 10 к и до 1 р. 20
C:/Users/maill/WORK/Dataset/32_14/img_31,семечки
C:/Users/maill/WORK/Dataset/32_14/img_32,до
C:/Users/maill/WORK/Dataset/32_14/img_33,сниженья
C:/Users/maill/WORK/Dataset/32_14/img_34,10 к
C:/Users/maill/WORK/Dataset/32_14/img_35,за
C:/Users/maill/WORK/Dataset/32_14/img_36,400 гр.
C:/Users/maill/WORK/Dataset/32_14/img_37,а
C:/Users/maill/WORK/Dataset/32_14/img_38,теперь
C:/Users/maill/WORK/Dataset/32_14/img_39,11 к за
C:/Users/maill/WORK/Dataset/32_14/img_40,400 гр
C:/Users/maill/WORK/Dataset/32_14/img_41,Стало
C:/Users/maill/WORK/Dataset/32_14/img_42,быть
C:/Users/maill/WORK/Dataset/32_14/img_43,для
C:/Users/maill/WORK/Dataset/32_14/img_44,нашего
C:/Users/maill/WORK/Dataset/32_14/img_45,кооператива
C:/Users/maill/WORK/Dataset/32_14/img_46,закон
C:/Users/maill/WORK/Dataset/32_14/img_47,о
C:/Users/maill/WORK/Dataset/32_14/img_48,сниженье
C:/Users/maill/WORK/Dataset/32_14/img_49,цен
C:/Users/maill/WORK/Dataset/32_14/img_50,не
C:/Users/maill/WORK/Dataset/32_14/img_51,касается
C:/Users/maill/WORK/Dataset/32_14/img_52,10/14 242
C:/Users/maill/WORK/Dataset/32_14/img_53,Деревня
C:/Users/maill/WORK/Dataset/32_14/img_54,фоминская
C:/Users/maill/WORK/Dataset/32_14/img_55,Килачевский
C:/Users/maill/WORK/Dataset/32_14/img_56,с/с
C:/Users/maill/WORK/Dataset/32_14/img_57,Ирб-заводского 
C:/Users/maill/WORK/Dataset/32_14/img_58,района
C:/Users/maill/WORK/Dataset/32_14/img_59,Ирбитского
C:/Users/maill/WORK/Dataset/32_14/img_60,округа
C:/Users/maill/WORK/Dataset/32_14/img_61,Фоминцов
C:/Users/maill/WORK/Dataset/32_14/img_62,Илья Иванов.
C:/Users/maill/WORK/Dataset/32_15/img_1,В
C:/Users/maill/WORK/Dataset/32_15/img_2,Редакцiю
C:/Users/maill/WORK/Dataset/32_15/img_3,областной
C:/Users/maill/WORK/Dataset/32_15/img_4,Кресть
C:/Users/maill/WORK/Dataset/32_15/img_5,янской
C:/Users/maill/WORK/Dataset/32_15/img_6,области
C:/Users/maill/WORK/Dataset/32_15/img_7,газеты
C:/Users/maill/WORK/Dataset/32_15/img_8,Почему
C:/Users/maill/WORK/Dataset/32_15/img_9,в
C:/Users/maill/WORK/Dataset/32_15/img_10,некоторых
C:/Users/maill/WORK/Dataset/32_15/img_11,окру
C:/Users/maill/WORK/Dataset/32_15/img_12,гах
C:/Users/maill/WORK/Dataset/32_15/img_13,нашей
C:/Users/maill/WORK/Dataset/32_15/img_14,оценка
C:/Users/maill/WORK/Dataset/32_15/img_15,посевной
C:/Users/maill/WORK/Dataset/32_15/img_16,была
C:/Users/maill/WORK/Dataset/32_15/img_17,произведена
C:/Users/maill/WORK/Dataset/32_15/img_19,десятины
C:/Users/maill/WORK/Dataset/32_15/img_20,в
C:/Users/maill/WORK/Dataset/32_15/img_21,по
C:/Users/maill/WORK/Dataset/32_15/img_22,районам. И еще
C:/Users/maill/WORK/Dataset/32_15/img_23,по
C:/Users/maill/WORK/Dataset/32_15/img_24,с/с
C:/Users/maill/WORK/Dataset/32_15/img_25,Ирбистском
C:/Users/maill/WORK/Dataset/32_15/img_27,по
C:/Users/maill/WORK/Dataset/32_15/img_28,районам
C:/Users/maill/WORK/Dataset/32_15/img_29,по
C:/Users/maill/WORK/Dataset/32_15/img_30,неправильно
C:/Users/maill/WORK/Dataset/32_15/img_32,что
C:/Users/maill/WORK/Dataset/32_15/img_33,в
C:/Users/maill/WORK/Dataset/32_15/img_34,нашом
C:/Users/maill/WORK/Dataset/32_15/img_35,районе пашня
C:/Users/maill/WORK/Dataset/32_15/img_36,далеко
C:/Users/maill/WORK/Dataset/32_15/img_37,с/с
C:/Users/maill/WORK/Dataset/32_15/img_39,не
C:/Users/maill/WORK/Dataset/32_15/img_42,десятина
C:/Users/maill/WORK/Dataset/32_15/img_43,дает
C:/Users/maill/WORK/Dataset/32_15/img_44,урожай
C:/Users/maill/WORK/Dataset/32_15/img_45,75 и 80 п.
C:/Users/maill/WORK/Dataset/32_15/img_46,по
C:/Users/maill/WORK/Dataset/32_15/img_48,посевная
C:/Users/maill/WORK/Dataset/32_15/img_49,десятина
C:/Users/maill/WORK/Dataset/32_15/img_50,прошла
C:/Users/maill/WORK/Dataset/32_15/img_51,Крестьяне
C:/Users/maill/WORK/Dataset/32_15/img_52,недовольны
C:/Users/maill/WORK/Dataset/32_15/img_53,против
C:/Users/maill/WORK/Dataset/32_15/img_54,соседних
C:/Users/maill/WORK/Dataset/32_15/img_55,наша
C:/Users/maill/WORK/Dataset/32_15/img_56,десятина
C:/Users/maill/WORK/Dataset/32_15/img_57,должна
C:/Users/maill/WORK/Dataset/32_15/img_58,обцениться
C:/Users/maill/WORK/Dataset/32_15/img_59,дешевлею
C:/Users/maill/WORK/Dataset/32_15/img_60,хочется
C:/Users/maill/WORK/Dataset/32_15/img_61,бы
C:/Users/maill/WORK/Dataset/32_15/img_63,Ирб.зав районе
C:/Users/maill/WORK/Dataset/32_15/img_65,в
C:/Users/maill/WORK/Dataset/32_15/img_67,посева
C:/Users/maill/WORK/Dataset/32_15/img_68,с/с
C:/Users/maill/WORK/Dataset/32_15/img_69,27ч.
C:/Users/maill/WORK/Dataset/32_15/img_70,фоминская
C:/Users/maill/WORK/Dataset/32_15/img_71,Килачевский
C:/Users/maill/WORK/Dataset/32_15/img_72,района
C:/Users/maill/WORK/Dataset/32_15/img_73,Ирбитскаго
C:/Users/maill/WORK/Dataset/32_15/img_74,округа
C:/Users/maill/WORK/Dataset/32_15/img_75,Селькор
C:/Users/maill/WORK/Dataset/32_15/img_76,тов
C:/Users/maill/WORK/Dataset/32_15/img_77,селькоры
C:/Users/maill/WORK/Dataset/32_15/img_78,и
C:/Users/maill/WORK/Dataset/32_15/img_79,крестьяне
C:/Users/maill/WORK/Dataset/32_15/img_80,Ирб.зав.
C:/Users/maill/WORK/Dataset/32_15/img_81,района
C:/Users/maill/WORK/Dataset/32_15/img_82,по
C:/Users/maill/WORK/Dataset/32_15/img_83,этому
C:/Users/maill/WORK/Dataset/32_15/img_84,поводу
C:/Users/maill/WORK/Dataset/32_15/img_85,дай
C:/Users/maill/WORK/Dataset/32_15/img_86,те
C:/Users/maill/WORK/Dataset/32_15/img_87,отзвы.
C:/Users/maill/WORK/Dataset/32_15/img_88,В
C:/Users/maill/WORK/Dataset/32_15/img_89,редакцiю
C:/Users/maill/WORK/Dataset/32_15/img_90,областной
C:/Users/maill/WORK/Dataset/32_15/img_91,Крестян.
C:/Users/maill/WORK/Dataset/32_15/img_92,газеты
C:/Users/maill/WORK/Dataset/32_15/img_93,вопрос
C:/Users/maill/WORK/Dataset/32_15/img_94,селькора
C:/Users/maill/WORK/Dataset/32_15/img_95,Ир-ф 76.
C:/Users/maill/WORK/Dataset/32_15/img_1,В
C:/Users/maill/WORK/Dataset/32_15/img_2,Редакцiю
C:/Users/maill/WORK/Dataset/32_15/img_3,областной
C:/Users/maill/WORK/Dataset/32_15/img_4,Кресть
C:/Users/maill/WORK/Dataset/32_15/img_5,янской
C:/Users/maill/WORK/Dataset/32_15/img_6,области
C:/Users/maill/WORK/Dataset/32_15/img_7,газеты
C:/Users/maill/WORK/Dataset/32_15/img_8,Почему
C:/Users/maill/WORK/Dataset/32_15/img_9,в
C:/Users/maill/WORK/Dataset/32_16/img_1,К
C:/Users/maill/WORK/Dataset/32_16/img_2,международному
C:/Users/maill/WORK/Dataset/32_16/img_4,дню
C:/Users/maill/WORK/Dataset/32_16/img_5,ооперации.
C:/Users/maill/WORK/Dataset/32_16/img_7,3 июля’
C:/Users/maill/WORK/Dataset/32_16/img_8,нас
C:/Users/maill/WORK/Dataset/32_16/img_9,у
C:/Users/maill/WORK/Dataset/32_16/img_10,нынче
C:/Users/maill/WORK/Dataset/32_16/img_11,день
C:/Users/maill/WORK/Dataset/32_16/img_12,празднуется
C:/Users/maill/WORK/Dataset/32_16/img_13,международной
C:/Users/maill/WORK/Dataset/32_16/img_14,Какие же
C:/Users/maill/WORK/Dataset/32_16/img_15,цели
